name,max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
forest,8191.01,5912.83,1503.49,8191.01,7902.47,353.363,4691.36,3444.35,6836.38,686.969,1127.42,213.436,6795.05,268.675,831.947,425.025,1520.73,1392.33,2872.71,7161.54,3982.83,617.888,410.509,478.378,333.969,5887.4,302.226,258.93
impervious,7394.95,6602.65,2438.4,4240.66,5045.41,404.676,1374.69,621.593,4357.32,6676.21,5874.15,6329.23,7394.95,5021.92,1799.83,5966.82,976.868,4633.78,3127.75,1038.12,2592.23,1386.42,5313.63,1188.45,950.894,6236.42,2214.37,6702.71
water,914.198,634.24,593.705,-1625.79,-1672.32,914.198,-692.386,707.626,-1670.59,-1408.64,-989.285,214.2,-75.5979,893.439,401.281,-389.933,394.053,666.603,-954.719,-933.934,-625.385,120.059,364.858,476.972,220.878,-2250,-1360.56,524.075
water,3800.81,1671.34,1206.88,449.735,1071.21,546.371,1077.84,214.564,849.599,1283.63,1304.91,542.1,922.619,889.774,836.292,1824.16,1670.27,2307.22,1562.21,1566.16,2208.44,1056.6,385.203,300.56,293.73,2762.57,150.931,3800.81
water,952.178,58.0174,-1599.16,210.714,-1052.63,578.807,-1564.63,-858.39,729.79,-3162.14,-1521.68,433.396,228.153,555.359,530.936,952.178,-1074.76,545.761,-1025.88,368.622,-1786.95,-1227.8,304.621,291.336,369.214,-2202.12,600.359,-1343.55
forest,8238.47,3778.72,7849.54,1848.54,2160.16,609.032,7544.06,791.231,684.787,7670.87,7540.31,7342.85,474.234,5171.55,1171.34,584.913,2545.13,5772.66,7804.1,3793.85,8238.47,1416.32,342.73,561.495,7335.84,6861.51,4648.49,1653.67
forest,7282.5,5975.13,6070.06,7282.5,7245.97,4041.86,2727.44,327.587,1573.27,5457.97,6051.41,1249.63,849.146,1305.32,1748.73,329.429,2584.11,2156.16,6554.17,1005.14,6906.3,6744.43,816.099,6105.63,1242.44,4762.31,2133.78,1029.13
farm,8104.82,3131.89,3147.38,2525.49,2469.36,919.03,5033.1,6380.05,3288.92,6365.05,2864.08,1120.85,1855.19,425.49,707.087,345.711,1128.31,2037.53,2532.99,2520.67,2822.83,3101.85,1085.84,735.059,515.936,8104.82,370.894,3390.07
water,2455.48,1136.44,-761.046,205.408,1647.83,1935.8,-44.5684,2158.98,-1367.92,1242.87,-2646.05,-1238.02,1564.39,877.144,890.149,410.2,1160.25,2455.48,1535,1959.43,-279.317,-384.915,-113.406,1020.72,1660.65,-116.801,-568.05,-1357.14
forest,8359.03,7576.17,1397.28,8359.03,8105.48,626.73,7958.62,1187.3,1623.07,3425.72,7495.14,570.188,1384.98,635.801,853.029,567.848,1724.88,2176.84,7756.55,2796.82,293.359,5506.91,315.847,1002.99,370.849,7454.88,716.04,1065.39
